Rank,LastName,Initial,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
89,Jones,A,BAL,CF,152,619,86,164,19,0,29,83,39,115,2,0,0.265,0.310,0.436,0.746
90,Forsythe,L,TB,2B,127,511,76,135,24,4,20,52,46,127,6,6,0.264,0.333,0.444,0.778
91,Morales,K,KC,DH,154,558,65,147,24,0,30,93,48,120,0,0,0.263,0.327,0.468,0.795
92,Ellsbury,J,NYY,CF,148,551,71,145,24,5,9,56,54,84,20,8,0.263,0.330,0.374,0.703
93,Gennett,S,MIL,2B,136,498,58,131,30,1,14,56,38,114,8,1,0.263,0.317,0.412,0.728
94,Encarnacion,E,TOR,DH,160,601,99,158,34,0,42,127,87,138,2,0,0.263,0.357,0.529,0.886
95,Gardner,B,NYY,LF,148,547,80,143,22,6,7,41,70,106,16,4,0.261,0.351,0.362,0.713
96,Mauer,J,MIN,1B,134,494,68,129,22,4,11,49,79,93,2,0,0.261,0.363,0.389,0.752
97,Springer,G,HOU,RF,162,644,116,168,29,5,29,82,88,178,9,10,0.261,0.359,0.457,0.815
98,Escobar,A,KC,SS,162,637,57,166,24,6,7,55,27,96,17,4,0.261,0.292,0.350,0.642
99,Santana,C,CLE,DH,158,582,89,151,31,3,34,87,99,99,5,2,0.259,0.366,0.498,0.865
100,Myers,W,SD,1B,157,599,99,155,29,4,28,94,68,160,28,6,0.259,0.336,0.461,0.797
101,Polanco,G,PIT,RF,144,527,79,136,34,4,22,86,53,119,17,6,0.258,0.323,0.463,0.786
102,Mercer,J,PIT,SS,149,519,66,133,22,3,11,59,51,83,1,1,0.256,0.328,0.374,0.701
103,Trumbo,M,BAL,RF,159,613,94,157,27,1,47,108,51,170,2,0,0.256,0.316,0.533,0.850
104,McCutchen,A,PIT,CF,153,598,81,153,26,3,24,79,69,143,6,7,0.256,0.336,0.430,0.766
105,Iglesias,J,DET,SS,137,467,57,119,26,0,4,32,28,50,7,4,0.255,0.306,0.336,0.643
106,Franco,M,PHI,3B,152,581,67,148,23,1,25,88,40,106,1,1,0.255,0.306,0.427,0.733
107,Kendrick,H,LAD,LF,146,487,65,124,26,2,8,40,50,96,10,2,0.255,0.326,0.366,0.691
108,Gonzalez,M,HOU,1B,141,484,55,123,26,3,13,51,22,118,12,6,0.254,0.293,0.401,0.694
109,Tulowitzki,T,TOR,SS,131,492,54,125,21,0,24,79,43,101,1,0,0.254,0.318,0.443,0.761
110,Alonso,Y,OAK,1B,156,482,52,122,34,0,7,56,45,74,3,1,0.253,0.316,0.367,0.683
111,Saunders,M,TOR,LF,140,490,70,124,32,3,24,57,59,157,1,2,0.253,0.338,0.478,0.815
112,Headley,C,NYY,3B,140,467,58,118,18,1,14,51,51,118,8,2,0.253,0.331,0.385,0.716
113,Cozart,Z,CIN,SS,121,464,67,117,28,2,16,50,37,84,4,1,0.252,0.308,0.425,0.732
114,Utley,C,LAD,2B,138,512,79,129,26,3,14,52,40,115,2,2,0.252,0.319,0.396,0.716
115,Vogt,S,OAK,C,137,490,54,123,30,2,14,56,35,83,0,0,0.251,0.305,0.406,0.711
116,Bruce,J,NYM,RF,147,539,74,135,27,6,33,99,44,126,4,2,0.250,0.309,0.506,0.815
117,Lamb,J,ARI,3B,151,523,81,130,31,9,29,91,64,154,6,1,0.249,0.332,0.509,0.840
118,Suarez,E,CIN,3B,159,565,78,140,25,2,21,70,51,155,11,5,0.248,0.317,0.411,0.728
119,Martin,L,SEA,CF,143,518,72,128,17,3,15,47,44,149,24,6,0.247,0.306,0.378,0.684
120,Perez,S,KC,C,139,514,57,127,28,2,22,64,22,119,0,0,0.247,0.288,0.438,0.725
121,Davis,K,OAK,LF,150,555,85,137,24,2,42,102,42,166,1,2,0.247,0.307,0.524,0.831
122,Upton,J,DET,LF,153,570,81,140,28,2,31,87,50,179,9,4,0.246,0.310,0.465,0.775
123,Dickerson,C,TB,DH,148,510,57,125,36,3,24,70,33,134,0,2,0.245,0.293,0.469,0.761
124,Werth,J,WSH,LF,143,525,84,128,28,0,21,69,71,139,5,1,0.244,0.335,0.417,0.752
125,Harper,B,WSH,RF,147,506,84,123,24,2,24,86,108,117,21,10,0.243,0.373,0.441,0.814
126,Miller,B,TB,1B,152,548,73,133,29,6,30,81,47,149,6,4,0.243,0.304,0.482,0.786
127,Shaw,T,BOS,3B,145,480,63,116,34,2,16,71,43,133,5,1,0.242,0.306,0.421,0.726
128,Galvis,F,PHI,SS,158,584,61,141,26,3,20,67,25,136,17,6,0.241,0.274,0.399,0.673
129,Duvall,A,CIN,LF,150,552,85,133,31,6,33,103,41,164,6,5,0.241,0.297,0.498,0.795
130,Ramirez,A,TB,SS,145,478,38,115,22,2,6,48,21,63,8,9,0.241,0.277,0.333,0.610
131,Panik,J,SF,2B,127,464,67,111,21,7,10,62,50,47,5,0,0.239,0.315,0.379,0.695
132,Napoli,M,CLE,1B,150,557,92,133,22,1,34,101,78,194,5,1,0.239,0.335,0.465,0.800
133,Russell,A,CHC,SS,151,525,67,125,25,3,21,95,55,135,5,1,0.238,0.321,0.417,0.738
134,Upton,M,TOR,LF,149,492,64,117,15,3,20,61,37,155,27,8,0.238,0.291,0.402,0.693
135,Semien,M,OAK,SS,159,568,72,135,27,2,27,75,51,139,10,2,0.238,0.300,0.435,0.735
136,Granderson,C,NYM,RF,150,545,88,129,24,5,30,59,74,130,4,2,0.237,0.335,0.464,0.799
137,Hechavarria,A,MIA,SS,155,508,52,120,17,6,3,38,33,73,1,0,0.236,0.283,0.311,0.594
138,Bautista,J,TOR,RF,116,423,68,99,24,1,22,69,87,103,2,2,0.234,0.366,0.452,0.817
139,Moreland,M,TEX,1B,147,460,49,107,21,0,22,60,35,118,1,0,0.233,0.298,0.422,0.720
140,Martin,R,TOR,C,137,455,62,105,16,0,20,74,64,148,2,1,0.231,0.335,0.398,0.733
141,Heyward,J,CHC,RF,142,530,61,122,27,1,7,49,54,93,11,4,0.230,0.306,0.325,0.631
142,Frazier,T,CWS,3B,158,590,89,133,21,0,40,98,64,163,15,5,0.225,0.302,0.464,0.767
143,Carter,C,MIL,1B,160,549,84,122,27,1,41,94,76,206,3,1,0.222,0.321,0.499,0.821
144,Davis,C,BAL,1B,157,566,99,125,21,0,38,84,88,219,1,0,0.221,0.332,0.459,0.792
145,Gordon,A,KC,LF,128,445,62,98,16,2,17,40,52,148,8,1,0.220,0.312,0.380,0.692
146,Espinosa,D,WSH,SS,157,516,66,108,15,0,24,72,54,174,9,2,0.209,0.306,0.378,0.684
